פיעל	עבר 	ראשון	זכר 	יחיד	_ש_ר_י_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ש_ר_י_נתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ש_ר_י_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_ש_ר_י_נה
פיעל	עבר 	ראשון	זכר 	רבים	_ש_ר_י_נו
פיעל	עבר 	ראשון	נקבה	רבים	_ש_ר_י_נו
פיעל	עבר 	ראשון	זכר 	יחיד	_שי_ר_י_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_שי_ר_י_נתי
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ר_י_נת
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ר_י_נת
פיעל	עבר 	שלישי	זכר 	יחיד	_שי_ר_י_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_שי_ר_י_נה
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ר_י_נת
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ר_י_נת
פיעל	עבר 	שני 	זכר 	רבים	_ש_ר_י_נתם
פיעל	עבר 	שני 	נקבה	רבים	_ש_ר_י_נתן
פיעל	עבר 	שלישי	זכר 	רבים	_ש_ר_י_נו
פיעל	עבר 	שלישי	נקבה	רבים	_ש_ר_י_נו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ש_ר_י_נ
פיעל	הווה	ראשון	נקבה	יחיד	מ_ש_ר_י_נת
פיעל	הווה	שני 	זכר 	יחיד	מ_ש_ר_י_נ
פיעל	הווה	שני 	נקבה	יחיד	מ_ש_ר_י_נת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ש_ר_י_נ
פיעל	הווה	שלישי	נקבה	יחיד	מ_ש_ר_י_נת
פיעל	הווה	ראשון	זכר 	רבים	מ_ש_ר_י_נים
פיעל	הווה	ראשון	נקבה	רבים	מ_ש_ר_י_נות
פיעל	הווה	שני 	זכר 	רבים	מ_ש_ר_י_נים
פיעל	הווה	שני 	נקבה	רבים	מ_ש_ר_י_נות
פיעל	הווה	שלישי	זכר 	רבים	מ_ש_ר_י_נים
פיעל	הווה	שלישי	נקבה	רבים	מ_ש_ר_י_נות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ש_ר_י_נ
פיעל	עתיד	ראשון	נקבה	יחיד	א_ש_ר_י_נ
פיעל	עתיד	שני 	זכר 	יחיד	ת_ש_ר_י_נ
פיעל	עתיד	שני 	נקבה	יחיד	ת_ש_ר_י_ני
פיעל	עתיד	שלישי	זכר 	יחיד	י_ש_ר_י_נ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ש_ר_י_נ
פיעל	עתיד	ראשון	זכר 	רבים	נ_ש_ר_י_נ
פיעל	עתיד	ראשון	נקבה	רבים	נ_ש_ר_י_נ
פיעל	עתיד	שני 	זכר 	רבים	ת_ש_ר_י_נו
פיעל	עתיד	שני 	נקבה	רבים	ת_ש_ר_י_נה
פיעל	עתיד	שלישי	זכר 	רבים	י_ש_ר_י_נו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ש_ר_י_נה
פיעל	ציווי	שני 	זכר 	יחיד	_ש_ר_י_נ
פיעל	ציווי	שני 	נקבה	יחיד	_ש_ר_י_ני
פיעל	ציווי	שני 	זכר 	רבים	_ש_ר_י_נו
פיעל	ציווי	שני 	נקבה	רבים	_ש_ר_י_נה
פועל	עבר 	ראשון	זכר 	יחיד	_שו_ר_י_נתי
פועל	עבר 	ראשון	נקבה	יחיד	_שו_ר_י_נתי
פועל	עבר 	שני 	זכר 	יחיד	_שו_ר_י_נת
פועל	עבר 	שני 	נקבה	יחיד	_שו_ר_י_נת
פועל	עבר 	שלישי	זכר 	יחיד	_שו_ר_י_נ
פועל	עבר 	שלישי	נקבה	יחיד	_שו_ר_י_נה
פועל	עבר 	ראשון	זכר 	רבים	_שו_ר_י_נו
פועל	עבר 	ראשון	נקבה	רבים	_שו_ר_י_נו
פועל	עבר 	שני 	זכר 	רבים	_שו_ר_י_נתם
פועל	עבר 	שני 	נקבה	רבים	_שו_ר_י_נתן
פועל	עבר 	שלישי	זכר 	רבים	_שו_ר_י_נו
פועל	עבר 	שלישי	נקבה	רבים	_שו_ר_י_נו
פועל	הווה	ראשון	זכר 	יחיד	מ_שו_ר_י_נ
פועל	הווה	ראשון	נקבה	יחיד	מ_שו_ר_י_נת
פועל	הווה	שני 	זכר 	יחיד	מ_שו_ר_י_נ
פועל	הווה	שני 	נקבה	יחיד	מ_שו_ר_י_נת
פועל	הווה	שלישי	זכר 	יחיד	מ_שו_ר_י_נ
פועל	הווה	שלישי	נקבה	יחיד	מ_שו_ר_י_נת
פועל	הווה	ראשון	זכר 	רבים	מ_שו_ר_י_נים
פועל	הווה	ראשון	נקבה	רבים	מ_שו_ר_י_נות
פועל	הווה	שני 	זכר 	רבים	מ_שו_ר_י_נים
פועל	הווה	שני 	נקבה	רבים	מ_שו_ר_י_נות
פועל	הווה	שלישי	זכר 	רבים	מ_שו_ר_י_נים
פועל	הווה	שלישי	נקבה	רבים	מ_שו_ר_י_נות
פועל	עתיד	ראשון	זכר 	יחיד	א_שו_ר_י_נ
פועל	עתיד	ראשון	נקבה	יחיד	א_שו_ר_י_נ
פועל	עתיד	שני 	זכר 	יחיד	ת_שו_ר_י_נ
פועל	עתיד	שני 	נקבה	יחיד	ת_שו_ר_י_ני
פועל	עתיד	שלישי	זכר 	יחיד	י_שו_ר_י_נ
פועל	עתיד	שלישי	נקבה	יחיד	ת_שו_ר_י_נ
פועל	עתיד	ראשון	זכר 	רבים	נ_שו_ר_י_נ
פועל	עתיד	ראשון	נקבה	רבים	נ_שו_ר_י_נ
פועל	עתיד	שני 	זכר 	רבים	ת_שו_ר_י_נו
פועל	עתיד	שני 	נקבה	רבים	ת_שו_ר_י_נה
פועל	עתיד	שלישי	זכר 	רבים	י_שו_ר_י_נו
פועל	עתיד	שלישי	נקבה	רבים	ת_שו_ר_י_נה
התפעל	עבר 	ראשון	זכר 	יחיד	ה_שת_ר_י_נתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_שת_ר_י_נתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_שת_ר_י_נת
התפעל	עבר 	שני 	נקבה	יחיד	ה_שת_ר_י_נת
התפעל	עבר 	שלישי	זכר 	יחיד	ה_שת_ר_י_נ
התפעל	עבר 	שלישי	נקבה	יחיד	ה_שת_ר_י_נה
התפעל	עבר 	ראשון	זכר 	רבים	ה_שת_ר_י_נו
התפעל	עבר 	ראשון	נקבה	רבים	ה_שת_ר_י_נו
התפעל	עבר 	שני 	זכר 	רבים	ה_שת_ר_י_נתם
התפעל	עבר 	שני 	נקבה	רבים	ה_שת_ר_י_נתן
התפעל	עבר 	שלישי	זכר 	רבים	ה_שת_ר_י_נו
התפעל	עבר 	שלישי	נקבה	רבים	ה_שת_ר_י_נו
התפעל	הווה	ראשון	זכר 	יחיד	מ_שת_ר_י_נ
התפעל	הווה	ראשון	נקבה	יחיד	מ_שת_ר_י_נת
התפעל	הווה	שני 	זכר 	יחיד	מ_שת_ר_י_נ
התפעל	הווה	שני 	נקבה	יחיד	מ_שת_ר_י_נת
התפעל	הווה	שלישי	זכר 	יחיד	מ_שת_ר_י_נ
התפעל	הווה	שלישי	נקבה	יחיד	מ_שת_ר_י_נת
התפעל	הווה	ראשון	זכר 	רבים	מ_שת_ר_י_נים
התפעל	הווה	ראשון	נקבה	רבים	מ_שת_ר_י_נות
התפעל	הווה	שני 	זכר 	רבים	מ_שת_ר_י_נים
התפעל	הווה	שני 	נקבה	רבים	מ_שת_ר_י_נות
התפעל	הווה	שלישי	זכר 	רבים	מ_שת_ר_י_נים
התפעל	הווה	שלישי	נקבה	רבים	מ_שת_ר_י_נות
התפעל	עתיד	ראשון	זכר 	יחיד	א_שת_ר_י_נ
התפעל	עתיד	ראשון	נקבה	יחיד	א_שת_ר_י_נ
התפעל	עתיד	שני 	זכר 	יחיד	ת_שת_ר_י_נ
התפעל	עתיד	שני 	נקבה	יחיד	ת_שת_ר_י_ני
התפעל	עתיד	שלישי	זכר 	יחיד	י_שת_ר_י_נ
התפעל	עתיד	שלישי	נקבה	יחיד	ת_שת_ר_י_נ
התפעל	עתיד	ראשון	זכר 	רבים	נ_שת_ר_י_נ
התפעל	עתיד	ראשון	נקבה	רבים	נ_שת_ר_י_נ
התפעל	עתיד	שני 	זכר 	רבים	ת_שת_ר_י_נו
התפעל	עתיד	שני 	נקבה	רבים	ת_שת_ר_י_נה
התפעל	עתיד	שלישי	זכר 	רבים	י_שת_ר_י_נו
התפעל	עתיד	שלישי	נקבה	רבים	ת_שת_ר_י_נה
התפעל	ציווי	שני 	זכר 	יחיד	ה_שת_ר_י_נ
התפעל	ציווי	שני 	נקבה	יחיד	ה_שת_ר_י_ני
התפעל	ציווי	שני 	זכר 	רבים	ה_שת_ר_י_נו
התפעל	ציווי	שני 	נקבה	רבים	ה_שת_ר_י_נה
